STATISTIC,Statistic Label,TLIST(M1),Month,C02596V03150,Industry Sector NACE Rev 2,UNIT,VALUE
WPM40C01,Domestic Industrial Price Index (Excl VAT),202112,2021 December,29,"Motor vehicles, trailers and semi-trailers (29)",Base 2021=100,104.0400618
WPM40C01,Domestic Industrial Price Index (Excl VAT),202112,2021 December,31,Furniture (31),Base 2021=100,102.0660392
WPM40C01,Domestic Industrial Price Index (Excl VAT),202112,2021 December,V0800,Mining and quarrying (05 to 09),Base 2021=100,100.519634
WPM40C01,Domestic Industrial Price Index (Excl VAT),202201,2022 January,10,Food products (10),Base 2021=100,102.2667147
WPM40C01,Domestic Industrial Price Index (Excl VAT),202201,2022 January,13,Textiles (13),Base 2021=100,100.5374358
WPM40C01,Domestic Industrial Price Index (Excl VAT),202201,2022 January,14,Wearing apparel (14),Base 2021=100,100.0366865
WPM40C01,Domestic Industrial Price Index (Excl VAT),202201,2022 January,16,"Wood and wood products, except furniture (16)",Base 2021=100,104.6380998
WPM40C01,Domestic Industrial Price Index (Excl VAT),202201,2022 January,17,Paper and paper products (17),Base 2021=100,103.2145861
WPM40C01,Domestic Industrial Price Index (Excl VAT),202201,2022 January,20,Chemicals and chemical products (20),Base 2021=100,126.2134415
WPM40C01,Domestic Industrial Price Index (Excl VAT),202201,2022 January,22,Rubber and plastic products (22),Base 2021=100,101.1369655
WPM40C01,Domestic Industrial Price Index (Excl VAT),202201,2022 January,23,Other non-metallic mineral products (23),Base 2021=100,105.9815384
WPM40C01,Domestic Industrial Price Index (Excl VAT),202201,2022 January,24,Basic metals (24),Base 2021=100,112.1382908
WPM40C01,Domestic Industrial Price Index (Excl VAT),202201,2022 January,25,"Fabricated metal products, except machinery and equipment (25)",Base 2021=100,102.93103
WPM40C01,Domestic Industrial Price Index (Excl VAT),202201,2022 January,27,Electrical equipment (27),Base 2021=100,102.6618036
WPM40C01,Domestic Industrial Price Index (Excl VAT),202201,2022 January,29,"Motor vehicles, trailers and semi-trailers (29)",Base 2021=100,104.0400618
WPM40C01,Domestic Industrial Price Index (Excl VAT),202201,2022 January,31,Furniture (31),Base 2021=100,103.3953466
WPM40C01,Domestic Industrial Price Index (Excl VAT),202201,2022 January,V0800,Mining and quarrying (05 to 09),Base 2021=100,100.5337348
WPM40C01,Domestic Industrial Price Index (Excl VAT),202202,2022 February,10,Food products (10),Base 2021=100,103.0072782
WPM40C01,Domestic Industrial Price Index (Excl VAT),202202,2022 February,13,Textiles (13),Base 2021=100,100.5374358
WPM40C01,Domestic Industrial Price Index (Excl VAT),202202,2022 February,14,Wearing apparel (14),Base 2021=100,100.0366865
WPM40C01,Domestic Industrial Price Index (Excl VAT),202202,2022 February,16,"Wood and wood products, except furniture (16)",Base 2021=100,104.2910699
WPM40C01,Domestic Industrial Price Index (Excl VAT),202202,2022 February,17,Paper and paper products (17),Base 2021=100,103.3651079
WPM40C01,Domestic Industrial Price Index (Excl VAT),202202,2022 February,20,Chemicals and chemical products (20),Base 2021=100,126.2760141
WPM40C01,Domestic Industrial Price Index (Excl VAT),202202,2022 February,22,Rubber and plastic products (22),Base 2021=100,101.1370241
